Rank,Restaurant Name,City,Country,Continent,Tasting menu from(USD),Tasting menu from(AUD),Latitude,Longitude,Michelin,Type,MICHELIN Green Star
1,Central,Lima,Peru,South America,180,283,-12.15264587,-77.02245759,0,Peruvian,0
2,Disfrutar,Barcelona,Spain,Europe,165,259,41.38777207,2.153211267,2,Creative,0
3,DiverXO,Madrid,Spain,Europe,280,440,40.45790022,-3.685777501,3,Creative,0
4,Asador Etxebarri,Atxondo,Spain,Europe,200,314,43.11587272,-2.598470693,1,Grills,0
5,Alchemist,Copenhagen,Denmark,Europe,570,895,55.69396963,12.61387538,2,Innovative,1
6,Maido,Lima,Peru,South America,150,236,-12.12541634,-77.0305759,0,,0
7,Lido 84,Gardone Riviera,Italy,Europe,100,157,45.62515961,10.57556658,1,Creative,0
8,Atomix,New York,United States of America,North America,205,322,40.74429238,-73.98280692,2,"Korean,Contemporary",0
9,Quintonil,Mexico City,Mexico,North America,120,188,19.43089995,-99.1917555,0,,0
10,Table by Bruno Verjus,Paris,France,Europe,125,196,48.84880067,2.37585866,2,Modern Cuisine,1
11,Tresind Studio,Dubai,United Arab Emirates,Asia,135,212,25.11423765,55.13961768,2,Indian,0
12,A Casa do Porco,Sao Paulo,Brazil,South America,40,63,-23.54490869,-46.64473706,0,,0
13,Pujol,Mexico City,Mexico,North America,120,188,19.43237916,-99.19483765,0,,0
14,Odette,Singapore,Singapore,Asia,110,173,1.289707833,103.8514432,3,French Contemporary,0
15,Le Du,Bangkok,Thailand,Asia,75,118,13.72503822,100.5293612,1,Thai contemporary,0
16,Reale,Castel di Sangro,Italy,Europe,190,298,41.77999401,14.09460002,3,"Creative, Modern Cuisine",0
17,Gaggan Anand,Bangkok,Thailand,Asia,100,157,13.74078752,100.5675864,0,,0
18,Steirereck,Vienna,Austria,Europe,115,181,48.20446277,16.38139543,2,"Creative, Contemporary",0
19,Don Julio,Buenos Aires,Argentina,South America,30,47,-34.58630853,-58.42430574,0,,0
20,Quique Dacosta,Denia,Spain,Europe,235,369,38.85374028,0.085201566,3,Creative,0
21,Den,Tokyo,Japan,Asia,140,220,35.67317799,139.7127189,2,Japanese,1
22,Elkano,Getaria,Spain,Europe,60,94,43.30302547,-2.204963822,1,"Seafood, Grills",0
23,Kol,London,United Kingdom,Europe,135,212,51.51476596,-0.157523232,1,"Mexican, Modern Cuisine",0
24,Septime,Paris,France,Europe,65,102,48.85357749,2.380933322,1,Modern Cuisine,1
25,Belcanto,Lisbon,Portugal,Europe,185,290,38.71009872,-9.141466252,2,"Creative, Portuguese",0
26,Schloss Schauenstein,Furstenau,Switzerland,Europe,250,393,46.72115314,9.445999449,3,"Creative, Country cooking",1
27,Florilege,Tokyo,Japan,Asia,70,110,35.66161188,139.7434462,2,French,1
28,Kjolle,Lima,Peru,South America,125,196,-12.15288997,-77.02257551,0,,0
